陈寔,陈群,祖父,unknown,魏
陈恂,陈群,孙子,unknown,魏
陈谌,陈群,叔父,unknown,魏
司马懿,陈群,好友,魏,魏
许靖,陈群,好友,蜀,魏
孔融,陈群,好友,群雄,魏
陈阶,陈寿,儿子,unknown,unknown
陈符,陈寿,侄子,unknown,unknown
陈莅,陈寿,侄子,unknown,unknown
李骧,陈寿,好友,unknown,unknown
谯周,陈寿,老师,unknown,unknown
陈恂,陈泰,儿子,unknown,unknown
陈群,陈泰,父亲,魏,unknown
陈纪,陈泰,祖父,群雄,unknown
荀彧,陈泰,外祖父,魏,unknown
荀顗,陈泰,舅父,unknown,unknown
荀恽,陈泰,舅父,unknown,unknown
荀俣,陈泰,舅父,unknown,unknown
荀诜,陈泰,舅父,unknown,unknown
荀粲,陈泰,舅父,unknown,unknown
陈表,陈武,儿子,unknown,吴
陈脩,陈武,儿子,unknown,吴
陈敖,陈武,孙子,unknown,吴
陈永,陈武,孙子,unknown,吴
陈延,陈武,孙子,unknown,吴
陈济,陈震,儿子,unknown,蜀
程昱,程武,父亲,魏,unknown
孙策,大乔,丈夫,吴,unknown
桥公,大乔,父亲,unknown,unknown
小乔,大乔,妹妹,unknown,unknown
周循,大乔,外甥,unknown,unknown
周妃,大乔,外甥女,unknown,unknown
周瑜,大乔,妹夫,吴,unknown
乔峤,大乔,学生,unknown,unknown
邓忠,邓艾,儿子,unknown,魏
邓朗,邓艾,孙子,unknown,魏
邓朗,邓忠,儿子,unknown,unknown
邓艾,邓忠,父亲,魏,unknown
丁谧,丁斐,儿子,unknown,unknown
丁温,丁奉,儿子,unknown,吴
丁封,丁奉,弟弟,unknown,吴
曹昂,丁夫人,养子,unknown,unknown
曹嵩,丁夫人,公公,unknown,unknown
丁氏,丁夫人,婆婆,unknown,unknown
夏侯霸,丁夫人,外甥,unknown,unknown
丁冲,丁仪,父亲,unknown,魏
丁廙,丁仪,弟弟,魏,魏
曹植,丁仪,好友,魏,魏
董君雅,董卓,父亲,unknown,群雄
董擢,董卓,哥哥,unknown,群雄
董旻,董卓,弟弟,unknown,群雄
董白,董卓,孙女,unknown,群雄
牛辅,董卓,女婿,群雄,群雄
李儒,董卓,女婿,群雄,群雄
董璜,董卓,侄子,unknown,群雄
吕布,董卓,义子,群雄,群雄
皇甫坚寿,董卓,好友,unknown,群雄
法邈,法正,儿子,unknown,蜀
法真,法正,祖父,unknown,蜀
法雄,法正,曾祖父,unknown,蜀
孟达,法正,好友,unknown,蜀
张松,法正,好友,unknown,蜀
刘备,甘夫人,丈夫,蜀,unknown
刘禅,甘夫人,儿子,蜀,unknown
刘弘,甘夫人,公公,unknown,unknown
吴氏,甘夫人,婆婆,unknown,unknown
刘谌,甘夫人,孙子,unknown,unknown
刘恂,甘夫人,孙子,unknown,unknown
刘璿,甘夫人,孙子,unknown,unknown
刘瑶,甘夫人,孙子,unknown,unknown
刘琮,甘夫人,孙子,unknown,unknown
敬哀皇后,甘夫人,儿媳,unknown,unknown
张皇后,甘夫人,儿媳,unknown,unknown
诸葛尚,甘夫人,曾外孙子,unknown,unknown
张飞,甘夫人,亲家公,蜀,unknown
夏侯夫人,甘夫人,亲家母,unknown,unknown
甘瑰,甘宁,儿子,unknown,吴
甘述,甘宁,儿子,unknown,吴
甘卓,甘宁,曾孙子,unknown,吴
苏飞,甘宁,好友,群雄,吴
吕蒙,甘宁,好友,吴,吴
公孙续,公孙瓒,儿子,unknown,群雄
刘纬台,公孙瓒,义弟,unknown,群雄
李移子,公孙瓒,义弟,unknown,群雄
乐何当,公孙瓒,义弟,unknown,群雄
公孙越,公孙瓒,堂弟,unknown,群雄
公孙范,公孙瓒,堂弟,unknown,群雄
卢植,公孙瓒,老师,unknown,群雄
刘宽,公孙瓒,老师,unknown,群雄
刘德然,公孙瓒,同学,unknown,群雄
王邑,公孙瓒,同学,unknown,群雄
傅燮,公孙瓒,同学,unknown,群雄
魏杰,公孙瓒,同学,unknown,群雄
刘备,公孙瓒,师弟,蜀,群雄
顾章志,顾济,儿子,unknown,unknown
关樾,关平,儿子,unknown,蜀
关羽,关平,父亲,蜀,蜀
关兴,关平,弟弟,蜀,蜀
关毅,关平,祖父,unknown,蜀
赵云,关平,岳父,蜀,蜀
关彝,关平,侄子,unknown,蜀
关审,关平,曾祖父,unknown,蜀
李遗,关平,妹夫,unknown,蜀
赵统,关平,大舅子,unknown,蜀
鲍三娘,关索,妻子,unknown,蜀
花鬘,关索,妻子,unknown,蜀
王悦,关索,妻子,unknown,蜀
王桃,关索,妻子,unknown,蜀
百花公主,关索,妻子,unknown,蜀
关羽,关索,父亲,蜀,蜀
胡金定,关索,母亲,unknown,蜀
关兴,关索,哥哥,蜀,蜀
关银屏,关索,姐姐,unknown,蜀
孟获,关索,岳父,unknown,蜀
祝融夫人,关索,岳母,unknown,蜀
王志,关索,义弟,unknown,蜀
花岳,关索,老师,unknown,蜀
关兴,关羽,儿子,蜀,蜀
关索,关羽,儿子,蜀,蜀
关平,关羽,儿子,蜀,蜀
关银屏,关羽,女儿,unknown,蜀
关毅,关羽,父亲,unknown,蜀
关审,关羽,祖父,unknown,蜀
关统,关羽,孙子,unknown,蜀
关樾,关羽,孙子,unknown,蜀
关彝,关羽,孙子,unknown,蜀
赵云,关羽,亲家公,蜀,蜀
张辽,关羽,好友,魏,蜀
徐晃,关羽,好友,魏,蜀
张飞,关羽,好友,蜀,蜀
刘备,关羽,好友,蜀,蜀
贾充,郭槐,丈夫,unknown,unknown
贾黎民,郭槐,儿子,unknown,unknown
贾南风,郭槐,女儿,unknown,unknown
贾午,郭槐,女儿,unknown,unknown
郭配,郭槐,父亲,unknown,unknown
贾逵,郭槐,公公,魏,unknown
韩谧,郭槐,外孙子,unknown,unknown
韩寿,郭槐,女婿,unknown,unknown
郭淮,郭槐,伯父,魏,unknown
郭奕,郭嘉,儿子,unknown,魏
郭敞,郭嘉,孙子,unknown,魏
郭深,郭嘉,孙子,unknown,魏
郭猎,郭嘉,曾孙子,unknown,魏
曹丕,郭女王,丈夫,魏,unknown
郭永,郭女王,父亲,unknown,unknown
曹叡,郭女王,继子,unknown,unknown
郭昱,郭女王,姐姐,unknown,unknown
武宣卞皇后,郭女王,婆婆,unknown,unknown
曹志,郭女王,侄子,unknown,unknown
曹苗,郭女王,侄子,unknown,unknown
曹熊,郭女王,小叔子,unknown,unknown
曹冲,郭女王,小叔子,unknown,unknown
曹彰,郭女王,小叔子,魏,unknown
曹彪,郭女王,小叔子,unknown,unknown
郭表,郭女王,堂兄,unknown,unknown
崔妃,郭女王,妯娌,unknown,unknown
郭缊,郭遵,侄子,unknown,unknown
郭淮,郭遵,曾孙子,魏,unknown
韩综,韩当,儿子,unknown,吴
韩荣,韩浩,养子,unknown,魏
杜阳,韩浩,舅父,unknown,魏
韩当,韩综,父亲,吴,unknown
何真,何进,父亲,unknown,群雄
舞阳君,何进,继母,unknown,群雄
何苗,何进,弟弟,unknown,群雄
灵思皇后,何进,妹妹,unknown,群雄
何晏,何进,孙子,unknown,群雄
刘辩,何进,外甥,unknown,群雄
何恽,何桢,儿子,unknown,unknown
何勖,何桢,儿子,unknown,unknown
刘德升,胡昭,老师,unknown,unknown
锺繇,胡昭,同学,unknown,unknown
吴普,华佗,学生,unknown,unknown
李当之,华佗,学生,unknown,unknown
